Mironoff, Ilyena Lydia--1945-07-26
Winkler, Henry Franklin--1945-10-30
Spielberg, Steven Allan--1946-12-18
Woodard, Alfre Ette--1952-11-08
Dick, Timothy Allen--1953-06-13
Quaid, Dennis William--1954-06-09
Clooney, George Timothy--1961-05-05
Tarantino, Quentin Jerome--1963-03-27
Depp, John Christopher--1963-06-09
Bishop, Eric Marlon--1967-12-16
DiCaprio, Leonardo Wilhelm--1974-11-11
Voight, Angelina Jolie--1975-06-04
Stone, Emily Jean--1977-11-06
Gosling, Ryan Thomas--1980-11-12
Kunis, Milena Markovna--1983-08-14
Cockburn, Olivia Jane--1984-03-03
Brown, Christopher Maurice--1989-05-05
